#OTUID	KOSMOSD15_M1AS_TT	KOSMOSD15_MPAS_TT	KOSMOSD1_M1BS_TT	KOSMOSD1_MPBS_TT	KOSMOSD24_M1AS_TT	KOSMOSD24_MPAS_TT	KOSMOSD32_M1AS_TT	KOSMOSD32_MPAS_TT	KOSMOSD36_M1AS_TT	KOSMOSD36_MPAS_TT	KOSMOSD42_M1AS_TT	KOSMOSD42_MPAS_TT	KOSMOSD48_M1AS_TT	KOSMOSD48_MPAS_TT	KOSMOSD8_M1AS_TT	KOSMOSD8_MPAS_TT
ASV_28335	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1
ASV_28336	0	0	0	0	5	0	1	0	2	0	0	0	3	0	0	0
ASV_28337	0	0	0	1	0	0	0	1	0	0	1	0	6	0	1	1
ASV_28338	0	0	0	0	0	0	0	0	2	0	1	0	8	0	0	0
ASV_28351	5	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0
ASV_28353	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0
ASV_28354	0	0	0	3	0	0	2	0	0	0	0	0	4	0	0	0
ASV_28362	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ASV_28363	0	0	0	1	0	6	0	0	0	2	0	0	0	0	0	0
ASV_28364	0	0	0	0	0	0	5	0	1	0	0	0	3	0	0	0
ASV_28365	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV_28366	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_28380	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_28382	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ASV_28383	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV_28384	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ASV_28385	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_28386	0	0	0	0	0	0	5	0	1	0	2	0	0	0	0	0
ASV_28387	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0
ASV_28388	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0
