#OTUID	KOSMOSD15_M1AS_X	KOSMOSD15_MPAS_X	KOSMOSD1_M1BS_X	KOSMOSD1_MPBS_X	KOSMOSD24_M1AS_X	KOSMOSD24_MPAS_X	KOSMOSD32_M1AS_X	KOSMOSD32_MPAS_X	KOSMOSD36_M1AS_X	KOSMOSD36_MPAS_X	KOSMOSD42_M1AS_X	KOSMOSD42_MPAS_X	KOSMOSD48_M1AS_X	KOSMOSD48_MPAS_X	KOSMOSD8_M1AS_X	KOSMOSD8_MPAS_X
ASV_8367	666	154	1011	422	296	88	33	91	112	18	28	47	8	107	26	253
ASV_8368	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0
ASV_8370	3	5	1	6	184	10	213	8	81	0	3	3	300	8	2	0
ASV_8373	14	2	0	5	28	5	45	2	33	0	0	4	0	2	0	0
ASV_8376	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0
ASV_8382	0	43	69	31	0	8	0	3	0	3	0	10	0	19	0	6
ASV_8388	0	16	0	0	0	4	0	24	0	0	0	8	0	9	0	4
ASV_8409	77	0	28	14	478	1	29	1	1	0	2	0	0	0	0	1
ASV_8411	0	1	0	1	0	0	0	1	0	6	0	1	0	1	0	0
ASV_8416	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8417	0	1	0	0	0	0	37	6	7	1	0	0	196	0	0	2
ASV_8418	0	1	0	0	0	0	0	0	0	1	0	4	0	8	0	3
ASV_8419	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8434	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_8450	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_8451	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8456	0	42	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ASV_8459	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8463	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_8464	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ASV_8469	240	1	0	1	1	0	10	4	1077	0	1016	6	233	6	6	0
ASV_8482	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2
ASV_8483	2	5	0	0	0	0	1	3	0	1	0	0	0	0	0	0
ASV_8484	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8486	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
