#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Sphingomonadales_D_4__Sphingomonadaceae$75278b9ad87b4a3e9ab339d2fa6d00a2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
D_3__Flavobacteriales_D_4__Cryomorphaceae$c6724b2c249e242e7b58533deaef0a92	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NS10_marine_group	
D_3__Cytophagales_D_4__Cyclobacteriaceae$b3bf656b002045259476cef93e27dfa0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae		
ba8aa899595c146c4177ab4fe1e915d7$ba8aa899595c146c4177ab4fe1e915d7	Bacteria						
D_3__Micrococcales_D_4__Microbacteriaceae$3408219e3a86c5f4c2b3f52a099468c4	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$e9252fc69dafafee5219677a290150f9	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bc02376e2d0850f2fe295a60f4f7de0e	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	
D_3__Pseudomonadales_D_4__Pseudomonadaceae$4653c4907a4f883064e8af7d12432e14	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
D_3__Candidatus_Peregrinibacteria_D_4__uncultured_bacterium$108ce01a5998dd6600479f6595613838	Bacteria	Patescibacteria	Gracilibacteria	Candidatus_Peregrinibacteria			
D_3__Pseudomonadales_D_4__Moraxellaceae$c97b8b68c155227759272ca49e5e4857	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Perlucidibaca	
D_3__Propionibacteriales_D_4__Propionibacteriaceae$f17d3da8eb98435912cf7cfb2d1bfbdb	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$2e946be935b01c1ab5145fc7feb84130	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salinihabitans	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$eca99e5c078e49135ffcb4a37fcd12dd	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a_marine_group	
D_3__Rickettsiales_D_4__SM2D12$a39534443a8fdc6af8dd7b2bf4110177	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
D_3__Opitutales_D_4__Puniceicoccaceae$75e701c158cb20aec806cd575bc77602	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus	
D_3__Sphingobacteriales_D_4__Lentimicrobiaceae$36e67bfc839356ae084aeeecdaf1ddc1	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae		
D_3__Thalassobaculales_D_4__Nisaeaceae$5decb97906ed2ef08b02f1e7fa19eabb	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75_clade	
D_3__Propionibacteriales_D_4__Nocardioidaceae$6d7868a40a558799092ecaf43a9384be	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
